Date,Close,High,Low,Open,Volume
2020-10-01,1023.38,1041.11,1018.21,1041.11,20783227
2020-10-05,1017.38,1034.38,1014.53,1032.01,18922799
2020-10-06,1016.53,1027.36,1012.53,1023.38,18412175
2020-10-07,1038.22,1061.9,1020.97,1027.87,53170865
2020-10-08,1029.82,1043.05,1021.94,1038.91,21077808
2020-10-09,1027.16,1036.15,1019.64,1027.87,18545499
2020-10-12,1028.81,1037.41,1023.84,1027.87,14226473
2020-10-13,1048.89,1051.21,1023.66,1025.85,23112012
2020-10-14,1052.01,1059.6,1043.28,1048.06,26742011
2020-10-15,1014.76,1053.16,1009.47,1053.16,20036197
2020-10-16,1000.64,1026.72,999.19,1018.67,21583600
2020-10-19,1000.83,1024.97,991.15,1007.2,31200385
2020-10-20,991.49,1008.55,989.81,1002.11,18482288
2020-10-21,977.1,1008.09,964.75,997.06,34082321
2020-10-22,968.98,980.73,961.64,978.38,30802210
2020-10-23,971.78,981.88,964.13,968.54,23422125
2020-10-26,933.18,966.68,928.3,966.68,37324416
2020-10-27,935.66,947.32,922.09,935.84,36478896
2020-10-28,925.06,946.33,923.2,939.02,29924017
2020-10-29,932.16,939.11,915.65,918.41,30655304
2020-10-30,944.86,949.73,929.82,935.2,34021563
2020-11-02,863.43,932.21,855.02,932.21,99366895
2020-11-03,850.99,877.94,843.96,869.2,88691623
2020-11-04,879.87,887.14,844.83,844.83,80180117
2020-11-05,899.1,901.83,888.52,899.07,37205373
2020-11-06,933.2,938.19,909.74,915.19,66674086
2020-11-09,943.11,951.53,936.35,948.35,35838510
2020-11-10,958.68,961.18,938.74,955.21,36934242
2020-11-11,918.51,963.48,909.72,960.72,56724780
2020-11-12,910.6,923.68,903.7,911.06,40046527
2020-11-13,918.14,936.65,911.4,911.51,45388670
2020-11-14,920.85,926.83,917.65,926.65,5226220
2020-11-17,916.69,958.88,912.89,958.88,46542562
2020-11-18,913.91,922.78,901.44,916.69,30402290
2020-11-19,907.44,924.6,905.17,913.91,27796343
2020-11-20,873.57,912.34,871.5,908.3,57471248
2020-11-23,897.12,906.0,885.88,897.26,45327567
